step_reverse,image_index,true_class,start_pred,sample_pred,start_correct,sample_correct,pred_unchanged
10,8,482,482,482,True,True,True
10,9,491,491,90,True,False,False
10,10,491,491,491,True,True,True
10,11,491,491,167,True,False,False
10,12,497,663,703,False,False,False
10,13,497,663,663,False,False,True
10,14,497,497,497,True,True,True
10,15,566,566,566,True,True,True
10,16,566,566,566,True,True,True
10,17,566,566,566,True,True,True
10,18,569,569,867,True,False,False
10,19,569,569,569,True,True,True
10,20,569,569,675,True,False,False
10,21,571,571,480,True,False,False
10,22,571,571,571,True,True,True
10,23,571,571,571,True,True,True
10,24,574,574,574,True,True,True
10,25,574,574,574,True,True,True
10,26,574,574,662,True,False,False
10,27,701,701,701,True,True,True
10,28,701,978,978,False,False,True
10,29,701,701,701,True,True,True
14,0,0,0,114,True,False,False
14,1,0,0,0,True,True,True
14,2,0,0,0,True,True,True
14,3,217,220,230,False,False,False
14,4,217,217,217,True,True,True
14,5,217,217,232,True,False,False
14,6,482,482,822,True,False,False
14,7,482,482,713,True,False,False
14,8,482,482,848,True,False,False
14,9,491,491,372,True,False,False
14,10,491,491,491,True,True,True
14,11,491,491,246,True,False,False
14,12,497,663,497,False,True,False
14,13,497,663,663,False,False,True
14,14,497,497,437,True,False,False
14,15,566,566,437,True,False,False
14,16,566,566,475,True,False,False
14,17,566,566,776,True,False,False
14,18,569,569,974,True,False,False
14,19,569,569,675,True,False,False
14,20,569,569,654,True,False,False
14,21,571,571,742,True,False,False
14,22,571,571,707,True,False,False
14,23,571,571,860,True,False,False
14,24,574,574,86,True,False,False
14,25,574,574,522,True,False,False
14,26,574,574,942,True,False,False
14,27,701,701,701,True,True,True
14,28,701,978,976,False,False,False
14,29,701,701,701,True,True,True
18,0,0,0,66,True,False,False
18,1,0,0,675,True,False,False
18,2,0,0,126,True,False,False
18,3,217,220,230,False,False,False
18,4,217,217,370,True,False,False
18,5,217,217,149,True,False,False
18,6,482,482,713,True,False,False
18,7,482,482,623,True,False,False
18,8,482,482,436,True,False,False
18,9,491,491,332,True,False,False
18,10,491,491,600,True,False,False
18,11,491,491,298,True,False,False
18,12,497,663,279,False,False,False
18,13,497,663,698,False,False,False
18,14,497,497,682,True,False,False
18,15,566,566,916,True,False,False
18,16,566,566,380,True,False,False
18,17,566,566,361,True,False,False
18,18,569,569,3,True,False,False
18,19,569,569,980,True,False,False
18,20,569,569,636,True,False,False
18,21,571,571,146,True,False,False
18,22,571,571,548,True,False,False
18,23,571,571,20,True,False,False
18,24,574,574,227,True,False,False
18,25,574,574,325,True,False,False
18,26,574,574,216,True,False,False
18,27,701,701,21,True,False,False
18,28,701,978,976,False,False,False
18,29,701,701,701,True,True,True
22,0,0,0,126,True,False,False
22,1,0,0,403,True,False,False
22,2,0,0,265,True,False,False
22,3,217,220,103,False,False,False
22,4,217,217,115,True,False,False
22,5,217,217,926,True,False,False
22,6,482,482,366,True,False,False
22,7,482,482,204,True,False,False
22,8,482,482,295,True,False,False
22,9,491,491,98,True,False,False
22,10,491,491,551,True,False,False
22,11,491,491,205,True,False,False
22,12,497,663,731,False,False,False
22,13,497,663,438,False,False,False
22,14,497,497,980,True,False,False
22,15,566,566,207,True,False,False
22,16,566,566,163,True,False,False
22,17,566,566,441,True,False,False
22,18,569,569,106,True,False,False
22,19,569,569,801,True,False,False
22,20,569,569,761,True,False,False
22,21,571,571,307,True,False,False
22,22,571,571,73,True,False,False
22,23,571,571,147,True,False,False
22,24,574,574,986,True,False,False
22,25,574,574,64,True,False,False
22,26,574,574,995,True,False,False
22,27,701,701,462,True,False,False
22,28,701,978,892,False,False,False
22,29,701,701,330,True,False,False
25,0,0,0,1,True,False,False
25,1,0,0,20,True,False,False
25,2,0,0,150,True,False,False
25,3,217,220,150,False,False,False
25,4,217,217,976,True,False,False
25,5,217,217,766,True,False,False
25,6,482,482,408,True,False,False
25,7,482,482,537,True,False,False
25,8,482,482,353,True,False,False
25,9,491,491,680,True,False,False
25,10,491,491,20,True,False,False
25,11,491,491,711,True,False,False
25,12,497,663,901,False,False,False
25,13,497,663,258,False,False,False
25,14,497,497,335,True,False,False
25,15,566,566,356,True,False,False
25,16,566,566,353,True,False,False
25,17,566,566,371,True,False,False
25,18,569,569,106,True,False,False
25,19,569,569,631,True,False,False
25,20,569,569,856,True,False,False
25,21,571,571,961,True,False,False
25,22,571,571,224,True,False,False
25,23,571,571,149,True,False,False
25,24,574,574,994,True,False,False
25,25,574,574,150,True,False,False
25,26,574,574,951,True,False,False
25,27,701,701,345,True,False,False
25,28,701,978,353,False,False,False
25,29,701,701,385,True,False,False
